First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_previous_position,Generalized_previous_experience,Following_position,Type_of_following_position,Generalized following experience,Following_law_firms,Birth_year,Appointment_age,Source,Source2,Source3,Notes
James,M.,Landis,,Commissioner,,1933,1934,,D,FTC,3,LLB,Professor (Harvard Law); previously: SCOTUS clerk,Academia,Academia,"Member of SEC, dean of Harvard Law, US Office of Civilian Defense, various other government positions, law firm (Landis, Feldman, Reily & Akers)",Government,"Political, law firm, academia","Landis, Feldman, Reily & Akers",1899,34,Wiki,NYT,,
Donald,F.,Turner,,AAG antitrust,,1965,1968,LBJ,NA,DOJ,NA,"JD, PhD",Professor (Harvard Law),Academia,Academia,Professor (Harvard Law),Academia,Academia,,1921,44,link,,,
William,,Baxter,,AAG antitrust,,1981,1983,Reagan,NA,DOJ,NA,LLB,Professor (Stanford Law); Citibank consultant,Academia,Academia,Professor (Stanford Law),Academia,Academia,,1928,53,NYT,,,
Joshua,D.,Wright,,Commissioner,,2013,2015,,R,FTC,5,"JD, PhD/BA (economics)","Professor (George Mason Law); previously: scholar-in-residence at FTC, clerked for federal judge",Academia,Academia,"Professor (George Mason law) specializing in antitrust, also law firm (Wilson Sonsini Goodrich and Rosati)",Academia,"Academia, law firm",Wilson Sonsini Goodrich and Rosati,1977,36,Wiki,FTC bio,,Accepted Google funding for academic research
Donald,I.,Baker,,AAG antitrust,,1976,1977,Ford,NA,DOJ,NA,Law,"Professor (Cornell Law); previously: deputy AAG of antitrust, staff lawyer in antitrust at DOJ",Academia,"Academia, civil service",Law firm,Law firm,Law firm,Unknown,1934,42,NYT,American Antitrust Institute (see full remarks),,
Dennis,A,Yao,,Commissioner,,1991,1994,,D,FTC,3,"PhD, MBA, BSE",Professor (UPenn Business); previously: analyst at Ford motor company,Academia,"Academia, industry","Professor (UPenn Business), professor (Harvard Business)",Academia,Academia,,1953,38,"See ""Documents"" folder",,,
Terry,,Calvani,,Acting chair/commissioner,,1983,1990,,R,FTC,4,JD,Professor (Vanderbilt Law); previously: law firm (Pillsbury),Academia,"Academia, law firm","Law firms (Pillsbury, Freshfields Bruckhaus Deringer), on Ireland's FTC equivalent",Law firm,Law firm,"Pillsbury, Freshfields Bruckhaus Deringer",1947,36,Wiki,,,
Robert,,Pitofsky,,Chair,,1995,2001,,D,FTC,1,LLB,"Professor (Georgetown); previously: dean/professor (Georgetown Law), law firm (Arnold & Porter), FTC commissioner, director of Bureau of Consumer Protection, lecturer (NYU Law), law firm (Dewey, Ballantine, Bushby, Palmer & Wood), civil appellate division of DOJ",Academia,"Academia, law firm","Law firm (Arnold & Porter), visiting lecturer at Columbia",Law firm,Law firm,Arnold & Porter,1929,66,NYT obit,Wiki,FTCWatch,
Thomas,E.,Kauper,,AAG antitrust,,1972,1976,Nixon,NA,DOJ,NA,JD,"Deputy AAG in Office of Legal Counsel; previously: professor (University of Michigan Law), private practice, SCOTUS clerk",Government,"Academia, political",Professor (University of Michigan Law),Academia,Academia,,1935,37,Wiki,,,
Timothy,J.,Muris,,Chair,,2001,2004,,R,FTC,1,"JD, BA (economics)","Professor (George Mason Law); previously: Executive Associate Director of OMB, various law firms (Collier, Shannon, Rill & Scot/Howrey), director at various FTC bureaus, deputy counsel on VP Taskforce on regulatory relief, professor (University of Miami Law)",Academia,"Academia, political, law firm","Professor (George Mason law) specializing in antitrust, also law firms (O’Melveny & Myers/Kirkland & Ellis/Sidley Austin)",Academia,"Academia, law firm","O'Melveny, Kirkland & Ellis, Sidley Austin",1948,53,"See ""Documents"" folder",,,
William,E.,Kovacic,,Chair/commissioner,,2006,2011,,R,FTC,4,JD,"Professor (George Mason and GW Law); previously: FTC general counsel, law firm associate (Bryan Cave), FTC staff attorney (bureau of Competition), law clerk for district court judge",Academia,"Academia, political, law firm",Professor (GW law),Academia,Academia,,1952,54,Wiki,"See ""Documents"" folder",San Jose Mercury News,
Abram,F. ,Myers,,Chair/commissioner,,1926,1929,,R,FTC,5,Law,Senior attorney at DOJ on antitrust; previously: DOJ staff attorney,Government,Civil service,General counsel and board chairman of the Allied States Association of Motion Picture Exhibitors,Industry,Industry,,1889,37,Wiki,MPPDA digital archive,,
Robert,E.,Freer,,Chair (x3)/commissioner,,1935,1948,,R,FTC,1,"LLB, LLM","special counsel for the Senate Committee for Interstate Commerce; previously: attorney at Interstate Commerce Commission, Army, private law practice",Government,Civil service,"Law firm (unclear), hearing examiner for Federal Power Commission",Law firm,Law firm,unclear,1896,39,NYT,Wiki,NYT2,"""quit to 'create financial security for my family'"" (NYT2)"
Wendell,,Berge,,AAG antitrust,,1943,1947,FDR,NA,DOJ,NA,Law,"AAG of criminal division; previously: lawyer at DOJ, private practice",Government,Civil service,Chairman of Small Manufacturers Emergency Committee (died shortly thereafter),Industry,Industry,,1903,40,NYT obit,,,
Herbert,,Bergson,,AAG antitrust,,1948,1950,Truman,NA,DOJ,NA,Law,Acting AAG of claims division; previously: spent 14 years at DOJ,Government,Civil service,Private practice,Private practice,Private practice,,1905,43,NYT-bio,NYT-investigation,WaPo obit,Later investigated by House Judiciary committee for taking fees from business interests
William,C.,Kern,,Commissioner,,1955,1962,,D,FTC,4,Law,Assistant director of FTC's litigation section; previously: staff lawyer at FTC,Government,Civil service,Likely retired (died soon after),Retired,Retired,,1902,53,NYT obit,,,Son of Senate majority leader
